name,AREALAND_ACRE10,AREALAND10,AREALAND_ACRE20,AREALAND20,Hou_10E,Hou_20E,Pop_10E,Pop_20E,HouDen_10,PopDen_10,HouDen_20,PopDen_20
Ahwatukee Foothills,29912.92733967,121053509,29844.14961422,120775175.0,33528,34527,77344,80604,1.1208531889667566,2.5856379458197574,1.1569101631747865,2.7008308510018386
Alhambra,12416.11912768,50246329,12498.69840661,50580516.0,52066,52997,126444,144882,4.193419816980182,10.183858474594594,4.240201521461809,11.591767021386676
Camelback East,23347.76534625,94485200,24110.84659101,97573285.0,69263,75182,132153,144949,2.966579412325843,5.660199082873931,3.1181816746340405,6.011775631887015
Central City,15372.26614134,62209450,14276.7495999,57776045.0,23571,26537,59259,61452,1.5333458179345127,3.8549293549268717,1.8587564217128159,4.304341094588535
Deer Valley,37450.64124236,151557602,37741.42501643,152734364.0,71285,76899,167302,185789,1.9034387031902231,4.467266632827814,2.0375224297048535,4.922681110189145
Desert View,49686.5765888,201074752,47654.690491,192851988.0,23188,29184,51817,65007,0.4666854026169087,1.0428772428583906,0.6124056142073077,1.3641259513012078
Encanto,6945.65822799,28108125,6877.94972832,27834118.0,28214,30714,55934,60015,4.062106005490113,8.053088442301128,4.465574947943414,8.725710767103731
Estrella,28553.73024211,115553025,29691.80320871,120158650.0,23595,25571,84500,96125,0.8263368673702378,2.959333133832808,0.8612141142205477,3.237425471410979
Laveen,16286.451106299999,65909031,15556.6689903,62955703.0,15884,18677,47834,66047,0.9752892079635249,2.9370425568954452,1.2005783507796952,4.245574681905366
Maryvale,26546.06364597,107428274,26803.51295654,108470136.0,66024,67598,210352,229496,2.487148410420662,7.92403735654924,2.521982850143762,8.56216124998658
North Gateway,44487.9475057,180036614,41928.4633198,169678733.0,6334,10169,15762,26370,0.14237564003573008,0.3542982062272147,0.24253214152968644,0.628928367797997
North Mountain,21303.41601287,86211999,21394.75170404,86581622.0,69804,71076,157858,169940,3.276657600726072,7.409985323698017,3.322123153529219,7.943069513067075
Paradise Valley,27000.3933708,109266884,26729.85540461,108172054.0,77210,77409,169894,174496,2.859587967466428,6.292278696344273,2.895975261678728,6.528131086332226
Rio Vista,63900.599325,258596950,39815.9120195,161129528.0,1949,1335,4992,4132,0.030500496405164192,0.07812133301928151,0.03352930856754401,0.10377760524426356
South Mountain,20233.08144692,81880502,20433.87674539,82693093.0,38476,42278,110554,125582,1.901638171177186,5.464021893552412,2.06901512262171,6.145774566655934
Indianapolis,234674.2149436,949694320,234612.14809812,949443144.0,384414,402518,829718,897041,1.638075150661045,3.5356163871663906,1.7156741595139313,3.82350618785877
Glendale,38232.52495269,154721778,39421.27149356,159532472.0,90505,91912,226721,248325,2.3672252908222364,5.930055634058983,2.3315331169623756,6.2992640924980625
Phoenix,330751.01955317,1338503954,331512.38860655,1341585110.0,590149,630752,1445632,1608139,1.7842696321760858,4.370755990270219,1.9026498606922277,4.850916753848959
Scottsdale,117689.37195823001,476272726,117761.61508182001,476565084.0,124001,136490,217385,241361,1.053629549862923,1.8471081660385926,1.1590364135645357,2.0495727732020654
Tempe,25589.528099130002,103557306,25562.606503590003,103448358.0,73462,82626,161719,180587,2.8707836938383235,6.319733579045491,3.232299491383871,7.064498683834859
Dallas,218607.45080886,884674332,217331.45841143,879510566.0,516639,572194,1197816,1304379,2.3633183502593633,5.4793008910172665,2.6328171916869025,6.0017956421692125
San Antonio,295324.30515713,1195136906,319265.111383405,1292022061.0,524246,592430,1327407,1434625,1.775153588259761,4.49474349662396,1.8556051973012224,4.493522620694877
Jacksonville,478421.50871312,1936106144,478262.33602737,1935461994.0,366273,411541,821784,949611,0.765586398874954,1.7176986925409605,0.8604921797070977,1.9855441845741657
Maricopa,5889181.847793375,23832710175,5889137.505295335,23832530727.0,1639279,1812827,3817117,4420568,0.2783542845793127,0.6481574348787074,0.30782555142751555,0.7506308005247216
AZ,72738577.23165794,294363032847,72738072.74900888,294360991275.0,2844526,3082000,6392017,7151502,0.03910615395927733,0.08787657448457775,0.04237120786296878,0.09831855216561873
US,2261140912.323012,9150526749046,2261140912.323012,9150526749046.0,131704730,140498736,308745538,331449281,0.058247024447800326,0.13654413854411504,0.062136214171480735,0.14658497362708872
